gene	gene_name
ENSG00000100478.14	AP4S1
ENSG00000100479.13	POLE2
ENSG00000100485.12	SOS2
ENSG00000100490.9	CDKL1
ENSG00000100504.17	PYGL
ENSG00000256075.1	AC008033.1
ENSG00000100522.10	GNPNAT1
ENSG00000100526.20	CDKN3
ENSG00000100528.12	CNIH1
ENSG00000100532.12	CGRRF1
ENSG00000100554.12	ATP6V1D
ENSG00000100557.9	CCDC198
ENSG00000100558.9	PLEK2
ENSG00000100565.15	LRRC74A
ENSG00000100564.9	PIGH
ENSG00000100567.13	PSMA3
ENSG00000100568.11	VTI1B
ENSG00000100575.14	TIMM9
ENSG00000100577.19	GSTZ1
ENSG00000100580.8	TMED8
ENSG00000100583.4	SAMD15
ENSG00000100591.8	AHSA1
ENSG00000100593.18	ISM2
ENSG00000100596.6	SPTLC2
ENSG00000100599.16	RIN3
ENSG00000100601.10	ALKBH1
ENSG00000100604.13	CHGA
ENSG00000100612.14	DHRS7
ENSG00000100625.9	SIX4
ENSG00000100629.17	CEP128
ENSG00000100632.11	ERH
ENSG00000100652.5	SLC10A1
ENSG00000100664.11	EIF5
ENSG00000100678.18	SLC8A3
ENSG00000100711.13	ZFYVE21
ENSG00000100739.11	BDKRB1
ENSG00000100749.8	VRK1
ENSG00000100767.16	PAPLN
ENSG00000100823.12	APEX1
ENSG00000100836.10	PABPN1
ENSG00000100842.13	EFS
ENSG00000100852.13	ARHGAP5
ENSG00000100865.15	CINP
ENSG00000100883.12	SRP54
ENSG00000100889.11	PCK2
ENSG00000100906.10	NFKBIA
ENSG00000100908.14	EMC9
ENSG00000100911.16	PSME2
ENSG00000100916.14	BRMS1L
ENSG00000100941.9	PNN
ENSG00000100949.14	RABGGTA
ENSG00000019186.10	CYP24A1
ENSG00000132670.20	PTPRA
ENSG00000088833.17	NSFL1C
ENSG00000020256.20	ZFP64
ENSG00000089012.14	SIRPG
ENSG00000100994.12	PYGB
ENSG00000101000.6	PROCR
ENSG00000101057.16	MYBL2
ENSG00000101074.4	R3HDML
ENSG00000101104.12	PABPC1L
ENSG00000101115.13	SALL4
ENSG00000101138.11	CSTF1
ENSG00000101150.17	TPD52L2
ENSG00000101160.14	CTSZ
ENSG00000101162.3	TUBB1
ENSG00000101187.16	SLCO4A1
ENSG00000101190.12	TCFL5
ENSG00000101197.13	BIRC7
ENSG00000185019.17	UBOX5
ENSG00000101210.12	EEF1A2
ENSG00000101213.7	PTK6
ENSG00000125508.3	SRMS
ENSG00000101220.17	C20orf27
ENSG00000101255.11	TRIB3
ENSG00000101266.19	CSNK2A1
ENSG00000172264.17	MACROD2
ENSG00000101276.17	SLC52A3
ENSG00000101282.9	RSPO4
ENSG00000101292.7	PROKR2
ENSG00000101311.15	FERMT1
ENSG00000101327.9	PDYN
ENSG00000101337.15	TM9SF4
ENSG00000101342.10	TLDC2
ENSG00000101400.5	SNTA1
ENSG00000101405.3	OXT
ENSG00000101417.12	PXMP4
ENSG00000101421.4	CHMP4B
ENSG00000129988.6	LBP
ENSG00000101438.4	SLC32A1
ENSG00000101441.4	CST4
ENSG00000101443.18	WFDC2
ENSG00000101444.13	AHCY
ENSG00000101446.7	SPINT3
ENSG00000101464.10	PIGU
ENSG00000101473.17	ACOT8
ENSG00000101474.12	APMAP
ENSG00000091164.13	TXNL1
ENSG00000101608.12	MYL12A
ENSG00000101695.9	RNF125
ENSG00000101751.10	POLI
ENSG00000007952.18	NOX1
ENSG00000006756.16	ARSD
ENSG00000273841.5	TAF9
ENSG00000067829.19	IDH3G
ENSG00000077713.19	SLC25A43
ENSG00000123569.8	H2BFWT
ENSG00000101825.8	MXRA5
ENSG00000101842.13	VSIG1
ENSG00000101843.19	PSMD10
ENSG00000101846.7	STS
ENSG00000101856.10	PGRMC1
ENSG00000101883.4	RHOXF1
ENSG00000101888.11	NXT2
ENSG00000101890.4	GUCY2F
ENSG00000101892.12	ATP1B4
ENSG00000101916.11	TLR8
ENSG00000101940.18	WDR13
ENSG00000101951.16	PAGE4
ENSG00000101958.14	GLRA2
ENSG00000101972.18	STAG2
ENSG00000101981.11	F9
ENSG00000101986.12	ABCD1
ENSG00000085185.15	BCORL1
ENSG00000102057.10	KCND1
ENSG00000102078.16	SLC25A14
ENSG00000102081.14	FMR1
ENSG00000102103.16	PQBP1
ENSG00000102109.9	PCSK1N
ENSG00000102128.8	RAB40AL
ENSG00000102195.9	GPR50
ENSG00000086758.16	HUWE1
ENSG00000102218.6	RP2
ENSG00000102226.9	USP11
ENSG00000102241.12	HTATSF1
ENSG00000102265.12	TIMP1
ENSG00000102309.14	PIN4
ENSG00000102313.8	ITIH6
ENSG00000102316.17	MAGED2
ENSG00000102393.10	GLA
ENSG00000075673.11	ATP12A
ENSG00000102471.14	NDFIP2
ENSG00000102539.5	MLNR
ENSG00000102575.12	ACP5
ENSG00000102606.18	ARHGEF7
ENSG00000102683.7	SGCG
ENSG00000102796.11	DHRS12
ENSG00000102837.7	OLFM4
ENSG00000183747.12	ACSM2A
ENSG00000065057.9	NTHL1
ENSG00000006194.10	ZNF263
ENSG00000087245.13	MMP2
ENSG00000177200.17	CHD9
ENSG00000122386.10	ZNF205
ENSG00000091651.9	ORC6
ENSG00000125149.11	C16orf70
ENSG00000102879.15	CORO1A
ENSG00000102891.3	MT4
ENSG00000102897.10	LYRM1
ENSG00000102898.12	NUTF2
ENSG00000102924.12	CBLN1
ENSG00000102931.8	ARL2BP
